series,n_tickers,n_snapshots,two_sided_pct,med_spread_c,med_bid_sz,med_ask_sz,avg_std_mid_c,toxicity_pct,total_vol_24h,total_oi,score
KXMLBGAME,26,698,100.0,4.0,55.0,308.0,1.0,0.5,2164,2153,32.98737974807784
KXCS2MAP,76,698,100.0,72.0,30.0,24.0,4.02,2.4,1897,10228,32.72968362466472
KXKBORFI,5,104,87.9,90.0,6.0,5.0,0.11,0.0,5,5,31.61624917184652
KXWCTEAMTOTAL,16,698,99.8,4.0,1009.0,1045.4,1.56,0.1,83873,52614,30.166791915789652
KXWC2H,6,698,100.0,5.0,600.0,605.0,1.41,0.2,2658,2252,29.959367433834036
KXCS2GAME,38,698,100.0,4.0,66.5,59.0,1.59,1.0,86703,73242,29.26687802955369
KXNASCARTOP3,69,698,42.2,8.0,100.0,100.0,0.15,0.0,2841,2796,29.159473051571624
KXWTADOUBLES,4,698,100.0,64.0,10.0,10.0,2.65,1.6,89,89,28.017711035435443
KXOWGAME,8,698,95.1,6.0,500.0,200.0,1.67,0.0,1649,1649,27.680505313790594
KXMLBRFI,13,698,100.0,14.0,11.0,10.0,0.88,0.2,3,3,27.08026052363259
KXWNBA4QSPREAD,28,176,59.3,92.0,7.0,7.0,2.35,7.6,3019,3119,26.88540455783407
KXAMSAVO,7,698,85.8,6.0,200.0,200.0,0.27,0.0,84,84,26.40871858442398
KXLOLGAME,31,698,100.0,7.0,100.0,74.8,3.33,1.0,207076,196815,26.34546766999247
KXWNBA2QSPREAD,28,178,63.9,92.0,10.0,7.0,3.27,1.8,6483,6391,26.316889358211217
KXNASCARTOP10,69,698,94.8,8.0,100.0,100.0,2.98,0.5,11128,11627,25.15526102112678
KXWCGOAL,60,698,72.2,6.0,25.0,300.0,2.48,1.1,1284678,1121542,24.846413782394453
KXODIMATCH,4,698,100.0,83.0,500.0,194.5,4.08,3.4,829,829,24.734340938235437
KXWNBA1QTOTAL,21,112,78.3,85.0,3.0,5.0,4.56,4.2,21686,16727,24.146626364368917
KXDEBATEMENTION,18,618,95.8,17.0,10.0,8.0,4.9,0.5,1819,2069,23.882796499812624
KXECULPGAME,3,698,100.0,4.0,1300.0,1200.0,0.19,0.0,194,194,23.854317374473784
KXNBAWINS,157,678,63.4,98.0,200.0,250.0,2.98,0.1,832,686,23.308741342979722
KXMLBTOTAL,162,698,100.0,2.0,1036.0,1221.7,1.1,2.0,414884,378120,23.2994593580915
KXATPEXACTMATCH,6,698,100.0,3.0,26.0,650.0,0.7,0.0,790,784,22.0860316537792
KXUSFLYCAN,9,698,100.0,90.0,10.0,9.0,2.79,0.1,24,23,20.75065669072295
KXWNBA2QTOTAL,28,150,93.0,94.0,100.0,25.0,6.97,2.8,46585,27561,20.70451886453747
KXWNBA2HTOTAL,28,182,42.5,94.0,5.0,5.0,2.41,1.5,1387,1543,20.207768963859493
KXATPSETWINNER,6,698,100.0,3.0,800.0,500.0,1.04,0.0,611,349,19.81146464126046
KXKBOGAME,10,44,100.0,30.0,10.0,5.0,1.91,4.2,8,8,19.76053870014007
KXWCFTTS,6,698,100.0,5.0,23.7,300.0,2.27,0.2,3933,3546,19.530368605478415
KXEURUSD,15,140,86.7,4.0,100.0,100.0,1.01,2.0,192,187,19.242026811539752
KXINXU,60,126,93.6,2.0,1600.0,0.0,1.18,0.5,109739,103253,19.176417545566434
KXWNBA1QSPREAD,21,114,67.0,81.0,5.0,5.0,4.7,3.8,10341,10281,19.06840033612451
KXWNBA2HSPREAD,30,182,52.8,92.0,10.0,10.0,2.97,3.4,1196,1099,18.726978239417917
KXAAAGASW,15,698,100.0,3.0,21.0,32.0,1.69,0.7,24587,20365,18.626661606550897
KXVALORANTMAP,56,698,100.0,7.0,112.0,27.0,2.8,0.9,518,1548,18.58289571490207
KXWNBA3QSPREAD,28,176,58.9,94.0,16.6,7.0,4.43,1.9,10665,7588,18.513628929363463
KXPGATOP10,312,698,42.1,4.0,1000.0,54.0,0.76,0.0,27729,27734,18.395156218007997
KXLOLMAP,56,698,100.0,8.0,50.0,15.0,4.48,0.8,9911,9510,17.21917153172834
KXWC1HTOTAL,8,698,100.0,2.0,450.0,400.0,1.04,0.1,3955,3266,17.03521589431207
KXR6GAME,4,698,100.0,2.0,517.0,502.9,0.84,0.0,1913,1852,16.467537418434194
KXWNBA4QWINNER,12,176,67.6,24.0,10.0,5.0,4.41,10.6,3689,4665,15.754379543670417
KXUSDJPY,15,140,88.6,3.0,100.0,100.0,0.98,0.1,187,182,15.671077755719361
KXATPGTOTAL,3,698,100.0,9.0,829.4,51.7,4.93,0.3,2817,2659,15.574799434512009
KXPGAR1TOP5,312,698,69.7,86.0,10.0,10.0,3.23,0.0,50,50,14.938416409775659
KXWNBA3QWINNER,12,176,62.4,28.0,31.0,4.0,5.1,3.3,3563,2835,14.635421860662163
KXNASCARTOPTEAM,28,698,35.7,6.0,100.0,5.0,0.37,0.0,394,447,14.428040790507065
KXWNBA3PT,26,208,95.0,25.0,25.0,1.0,8.12,3.1,3540,4203,14.377667468826354
KXNASCARRACE,69,698,58.6,2.0,404.1,1249.9,0.23,0.0,91502,91361,14.200535639753006
KXALBUMEQUIV,10,698,100.0,2.0,250.0,250.0,0.85,0.0,591,591,14.151617727956774
KXLOWTPHIL,6,698,42.4,16.0,9.0,8.0,3.75,3.8,4831,3665,13.774242794030526
KXMLBF5,42,698,100.0,2.0,605.3,807.3,1.51,0.2,17161,15115,13.669124565536606
